Station ID,Station Name,First Year,Last Year,Year Range,% Complete,MSL Trends (mm/yr),+/- 95% CI (mm/yr),MSL Trend (ft/century),+/- 95% CI (ft/century),Latitude,Longitude
060-021,"Raahe/Brahestad, Finland",1922,2017,96,0.9354,-6.68,0.58,-2.19,0.19,64.6667,24.4
060-041,"Pietarsaari/Jakobstad, Finland",1914,2017,104,0.9839,-7.08,0.51,-2.32,0.17,63.7,22.7
060-051,"Vaasa/Vasa, Finland",1883,2017,135,0.9534,-7.21,0.31,-2.36,0.1,63.0833,21.5667
060-071,"Kaskinen/Kasko, Finland",1926,2017,92,0.9799,-6.3,0.59,-2.07,0.19,62.35,21.2167
060-101,"Mantyluoto, Finland",1910,2017,108,0.986,-5.73,0.45,-1.88,0.15,61.6,21.4667
060-241,"Turku/Abo, Finland",1922,2017,96,0.9826,-3.51,0.54,-1.15,0.18,60.4333,22.1
060-281,"Foglo/Degerby, Finland",1923,2017,95,0.9574,-3.64,0.52,-1.19,0.17,60.0333,20.3833
060-331,"Hanko/Hango, Finland",1887,2017,131,0.8917,-2.56,0.34,-0.84,0.11,60.1,23.55
060-351,"Helsinki, Finland",1879,2017,139,0.9994,-2.22,0.31,-0.73,0.1,60.15,24.9667
060-361,"Hamina, Finland",1928,2017,90,0.9879,-0.86,0.68,-0.28,0.22,60.5667,27.1833
080-181,"Pionersky, Russia",1926,1986,61,0.8659,1.84,0.88,0.6,0.29,54.95,20.2167
084-161,"Klaipeda, Lithuania",1898,2018,121,0.9194,1.49,0.36,0.49,0.12,55.7,21.1333
110-022,"Gdansk/Nowy Port, Poland",1951,1999,49,1.0017,2.91,1.23,0.95,0.4,54.4,18.6833
110-047,"Wladyslawowo, Poland",1951,1999,49,1.0017,2.45,1.26,0.81,0.41,54.8,18.4167
110-057,"Ustka, Poland",1951,1999,49,1.0017,1.71,1.16,0.56,0.38,54.5833,16.8667
110-072,"Kolobrzeg, Poland",1951,1999,49,1.0017,1.27,1.07,0.42,0.35,54.1833,15.55
110-092,"Swinoujscie, Poland",1811,1999,189,0.9652,0.81,0.12,0.26,0.04,53.9167,14.2333
120-012,"Warnemunde, Germany",1855,2017,163,0.9995,1.26,0.11,0.41,0.03,54.1833,12.0833
120-022,"Wismar, Germany",1848,2018,171,0.9995,1.43,0.09,0.47,0.03,53.9,11.4667
125-001,"Travemunde, Germany",1856,2017,162,0.9511,1.65,0.09,0.54,0.03,53.9581,10.8722
130-001,"Gedser, Denmark",1892,2017,126,0.9927,1.2,0.15,0.39,0.05,54.5667,11.9333
130-021,"Kobenhavn, Denmark",1889,2017,129,0.9767,0.59,0.18,0.19,0.06,55.6833,12.6
130-031,"Hornbaek, Denmark",1891,2017,127,0.9849,0.4,0.18,0.13,0.06,56.1,12.4667
130-041,"Korsor, Denmark",1897,2017,121,0.9835,0.83,0.17,0.27,0.05,55.3333,11.1333
130-051,"Slipshavn, Denmark",1896,2017,122,0.9658,1.07,0.14,0.35,0.05,55.2833,10.8333
130-071,"Fredericia, Denmark",1889,2017,129,0.9922,1.1,0.1,0.36,0.03,55.5667,9.7667
130-081,"Aarhus, Denmark",1888,2017,130,0.9768,0.65,0.11,0.21,0.03,56.15,10.2167
130-091,"Frederikshavn, Denmark",1894,2017,124,0.9718,0.06,0.14,0.02,0.05,57.4333,10.5667
130-101,"Hirtshals, Denmark",1892,2017,126,0.9603,-0.22,0.19,-0.07,0.06,57.6,9.9667
130-121,"Esbjerg, Denmark",1889,2017,129,0.9884,1.25,0.24,0.41,0.08,55.4667,8.4333
140-012,"Cuxhaven 2, Germany",1843,2018,176,1.0005,2.11,0.14,0.69,0.05,53.8667,8.7167
150-001,"Delfzijl, Netherlands",1865,2018,154,1.0005,1.75,0.14,0.57,0.05,53.3264,6.9331
150-021,"Harlingen, Netherlands",1865,2018,154,1.0005,1.42,0.13,0.47,0.04,53.176,5.409
150-031,"Den Helder, Netherlands",1865,2018,154,1.0005,1.48,0.11,0.49,0.04,52.9644,4.745
150-041,"Ijmuiden, Netherlands",1871,2018,132,1.0006,2.1,0.14,0.69,0.05,52.4622,4.5547
150-051,"Hoek van Holland, Netherlands",1864,2018,155,1.0005,2.39,0.1,0.78,0.03,51.9775,4.12
150-061,"Maassluis, Netherlands",1848,2018,171,1.0005,1.67,0.1,0.55,0.03,51.9175,4.2497
150-101,"Vlissingen, Netherlands",1862,2018,132,1.0005,2.16,0.12,0.71,0.04,51.4422,3.5961
160-011,"Zeebrugge, Belgium",1942,2017,76,0.7279,2.68,0.34,0.88,0.11,51.35,3.2
160-021,"Oostende, Belgium",1937,2017,81,0.9351,1.84,0.22,0.6,0.07,51.2333,2.9167
160-031,"Nieuwpoort, Belgium",1943,2017,75,0.7052,2.43,0.37,0.8,0.12,51.15,2.7333
170-001,"Lerwick, UK",1957,2018,62,0.8869,0.33,0.35,0.11,0.11,60.15,-1.1333
170-005,"Wick, UK",1965,2018,54,0.9212,1.36,0.46,0.45,0.15,58.441,-3.0863
170-011,"Aberdeen I, UK",1862,2018,157,0.9363,0.75,0.09,0.24,0.03,57.1441,-2.0774
170-053,"North Shields, UK",1895,2018,124,0.9359,1.9,0.13,0.62,0.04,55.0,-1.4333
170-061,"Immingham, UK",1959,2018,60,0.8914,0.76,0.42,0.25,0.14,53.6302,-0.1874
170-068,"Lowestoft, UK",1955,2018,64,0.9465,2.56,0.33,0.84,0.11,52.4731,1.7501
170-081,"Southend, UK",1933,2015,83,0.7789,1.22,0.19,0.4,0.06,51.5145,0.7238
170-092,"Tower Pier, UK",1929,2013,85,0.6546,1.43,0.35,0.47,0.11,51.5,0.0833
170-101,"Sheerness, UK",1832,2018,187,0.5226,1.67,0.09,0.55,0.03,51.45,0.75
170-111,"Dover, UK",1961,2018,58,0.875,2.26,0.29,0.74,0.09,51.1144,1.3227
170-131,"Portsmouth, UK",1961,2018,58,0.9436,1.67,0.43,0.55,0.14,50.8022,-1.1113
170-157,"Devonport, UK",1961,2018,58,0.9489,2.02,0.58,0.66,0.19,50.3684,-4.1852
170-161,"Newlyn, UK",1915,2018,104,0.9855,1.84,0.16,0.6,0.05,50.1,-5.55
170-191,"Holyhead, UK",1938,2018,81,0.8198,2.28,0.28,0.75,0.09,53.3139,-4.6204
170-211,"Liverpool, UK",1858,1983,126,0.6962,1.14,0.19,0.37,0.06,53.4,-3.0
170-225,"Heysham, UK",1960,2018,59,0.8175,2.38,0.63,0.78,0.21,54.0318,-2.9202
170-236,"Portpatrick, UK",1968,2011,44,0.9676,2.21,0.62,0.72,0.2,54.8426,-5.12
170-241,"Millport, UK",1968,2016,49,0.7983,1.6,0.66,0.53,0.22,55.7498,-4.9063
170-251,"Stornoway, UK",1977,2018,42,0.8588,2.49,0.68,0.82,0.22,58.2,-6.3833
175-011,"Malin Head, Ireland",1958,2002,45,0.968,-1.2,0.75,-0.39,0.25,55.3667,-7.3333
175-071,"Dublin, Ireland",1938,2009,72,0.9919,1.43,0.46,0.47,0.15,53.35,-6.2167
190-001,"Dunkerque, France",1942,2018,77,0.6645,1.68,0.32,0.55,0.1,51.05,2.3667
190-011,"Calais, France",1941,2018,78,0.5306,0.56,0.54,0.18,0.18,50.9694,1.8677
190-031,"Dieppe, France",1954,2018,65,0.7317,4.32,0.42,1.42,0.14,49.9291,1.0838
190-051,"Le Havre, France",1938,2018,81,0.6591,2.07,0.41,0.68,0.13,49.4333,0.1
190-091,"Brest, France",1807,2018,212,0.8974,1.01,0.08,0.33,0.03,48.3833,-4.5
190-111,"St. Nazaire, France",1941,2018,78,0.4549,1.5,0.55,0.49,0.18,47.27,-2.2
190-121,"La Rochelle-La Pallice, France",1941,2018,78,0.5281,1.55,0.72,0.51,0.24,46.1585,-1.2207
190-126,"Port Bloc, France",1959,2018,60,0.5035,1.48,0.64,0.49,0.21,45.5685,-1.0616
190-139,"Boucau, France",1967,2018,52,0.8325,1.6,0.8,0.52,0.26,43.5273,-1.5148
190-141,"St. Jean de Luz (Socoa), France",1942,2017,76,0.5849,1.52,0.48,0.5,0.16,43.4,-1.6833
200-011,"Santander, Spain",1943,2018,76,0.9768,2.22,0.34,0.73,0.11,43.4613,-3.7908
200-030,"La Coruna, Spain",1943,2018,76,0.9813,2.43,0.36,0.8,0.12,43.3667,-8.4
200-041,"Vigo, Spain",1943,2018,76,0.9846,2.05,0.38,0.67,0.12,42.238,-8.731
210-021,"Cascais, Portugal",1882,1993,112,0.9263,1.32,0.15,0.43,0.05,38.6833,-9.4167
210-031,"Lagos, Portugal",1908,1999,92,0.7907,1.62,0.24,0.53,0.08,37.1,-8.6667
215-001,"Gibraltar, Gibraltar",1961,2014,54,0.6814,0.59,0.93,0.19,0.3,36.1333,-5.35
220-003,"Cadiz III, Spain",1961,2018,58,0.9755,3.57,0.57,1.17,0.19,36.5333,-6.2833
220-011,"Algeciras, Spain",1943,2002,60,0.8225,0.43,0.3,0.14,0.1,36.1167,-5.4333
220-021,"Tarifa, Spain",1943,2018,76,0.9446,1.27,0.43,0.42,0.14,36.0,-5.6
220-031,"Malaga, Spain",1944,2013,70,0.8236,0.76,0.46,0.25,0.15,36.7167,-4.4167
220-052,"Alicante II, Spain",1960,1997,38,0.9714,-0.21,0.56,-0.07,0.18,38.3389,-0.4812
230-006,"Port Vendres, France",1984,2018,35,0.7566,3.45,0.81,1.13,0.27,42.5201,3.1073
230-051,"Marseille, France",1885,2018,134,0.9669,1.3,0.13,0.43,0.04,43.3,5.35
230-061,"Toulon, France",1961,2018,58,0.5626,1.06,0.52,0.35,0.17,43.1129,5.9147
230-081,"Nice, France",1978,2018,41,0.8797,2.88,0.7,0.94,0.23,43.6956,7.2855
250-011,"Genova, Italy",1884,1997,114,0.7835,1.18,0.14,0.39,0.05,44.4,8.9
270-054,"Venezia (Punta della Salute), Italy",1872,2000,129,0.9586,2.44,0.15,0.8,0.05,45.4333,12.3333
270-061,"Trieste, Italy",1875,2018,144,0.8674,1.31,0.14,0.43,0.05,45.6474,13.7585
280-006,"Rovinj, Croatia",1955,2018,64,0.9895,0.75,0.42,0.24,0.14,45.0833,13.6283
280-011,"Bakar, Croatia",1930,2013,84,0.8699,1.09,0.35,0.36,0.11,45.3,14.5333
280-021,"Split Rt Marjana, Croatia",1952,2008,57,0.9985,0.61,0.46,0.2,0.15,43.5083,16.3917
280-031,"Split Harbour-Gradska Luka, Croatia",1954,2018,65,1.0013,1.03,0.41,0.34,0.13,43.5067,16.4417
280-081,"Dubrovnik, Croatia",1956,2018,63,0.992,1.58,0.38,0.52,0.13,42.6583,18.0633
290-001,"Preveza, Greece",1969,2017,49,0.7802,0.23,0.86,0.08,0.28,38.9591,20.7566
290-004,"Levkas, Greece",1969,2017,49,0.865,5.81,0.79,1.91,0.26,38.8345,20.7121
290-011,"Posidhonia, Greece",1969,2017,49,0.7155,0.98,1.29,0.32,0.42,37.9512,22.9601
290-017,"Katakolon, Greece",1969,2017,49,0.8773,2.86,0.58,0.94,0.19,37.6333,21.3167
290-021,"Kalamai, Greece",1969,2017,49,0.7462,3.76,0.56,1.23,0.18,37.0167,22.1333
290-031,"Piraievs, Greece",1969,2017,49,0.833,-0.23,1.07,-0.07,0.35,37.9373,23.6267
290-034,"Khalkis North, Greece",1969,2017,49,0.8876,0.79,0.8,0.26,0.26,38.4667,23.6
290-051,"Thessaloniki, Greece",1969,2017,49,0.8961,3.83,0.66,1.26,0.21,40.6167,23.0333
290-065,"Alexandroupolis, Greece",1969,2017,49,0.8893,1.84,0.67,0.6,0.22,40.85,25.8833
290-071,"Khios, Greece",1969,2015,47,0.8554,3.79,0.8,1.24,0.26,38.3833,26.15
290-081,"Siros, Greece",1969,2017,49,0.8586,-2.34,0.88,-0.77,0.29,37.44,24.9458
290-091,"Leros, Greece",1969,2017,49,0.8271,1.35,0.57,0.44,0.19,37.0833,26.8833
290-110,"Rodhos, Greece",1969,2008,40,0.7267,-0.05,1.14,-0.02,0.37,36.4333,28.2333
295-021,"Bourgas, Bulgaria",1929,1996,68,0.8638,1.91,0.9,0.63,0.29,42.4833,27.4833
295-051,"Varna, Bulgaria",1929,1996,68,0.9521,1.22,0.84,0.4,0.28,43.1833,27.9167
297-021,"Constantza, Romania",1933,1997,65,0.9512,1.37,0.96,0.45,0.32,44.1667,28.6667
298-041,"Sevastopol, Ukraine",1910,1994,85,0.9696,1.26,0.77,0.41,0.25,44.6167,33.5333
300-001,"Tuapse, Russia",1917,2018,102,0.991,2.39,0.5,0.79,0.17,44.1,39.0667
305-021,"Poti, Georgia",1874,2015,142,0.9442,6.68,0.27,2.19,0.09,42.1667,41.6833
305-031,"Batumi, Georgia",1882,2015,134,0.8687,1.96,0.36,0.64,0.12,41.6333,41.7
330-071,"Alexandria, Egypt",1944,2006,63,0.9576,1.78,0.37,0.58,0.12,31.2167,29.9167
340-001,"Ceuta, Spain",1944,2018,75,0.9688,0.7,0.24,0.23,0.08,35.9,-5.3167
360-001,"Ponta Delgada, Portugal",1978,2018,41,0.749,3.86,0.68,1.27,0.22,37.7333,-25.6667
365-010,"Funchal-B, Portugal",1976,2015,13,0.5919,2.06,1.19,0.68,0.39,32.6511,-17.1178
370-001,"Arrecife, Spain",1949,2018,70,0.8194,0.56,0.39,0.18,0.13,28.9718,-13.53
370-032,"Tenerife, Spain",1927,2017,28,0.8918,1.67,0.31,0.55,0.1,28.4772,-16.2411
410-001,"Takoradi, Ghana",1929,1969,41,0.485,3.32,0.5,1.09,0.16,4.8833,-1.75
427-001,"Walvis Bay, Namibia",1958,2015,58,0.5429,0.95,0.81,0.31,0.27,-22.95,14.5
427-011,"Luderitz, Namibia",1958,2015,58,0.6808,2.06,0.6,0.68,0.2,-26.6433,15.155
430-021,"Port Nolloth, South Africa",1959,2016,58,0.7747,1.79,0.38,0.59,0.13,-29.2567,16.8678
430-045,"Cape Town (Granger Bay), South Africa",1967,2018,52,0.6748,2.18,1.13,0.72,0.37,-33.9053,18.4347
430-061,"Simons Bay, South Africa",1957,2018,62,0.7711,2.1,0.22,0.69,0.07,-34.1833,18.4333
430-086,"Knysna, South Africa",1960,2018,59,0.7257,2.12,0.75,0.7,0.25,-34.0494,23.0456
430-088,"Port Elizabeth, South Africa",1978,2018,41,0.7979,2.12,0.74,0.7,0.24,-33.9667,25.6333
430-090,"East London, South Africa",1967,2018,52,0.5586,0.77,1.74,0.25,0.57,-33.0272,27.9317
430-091,"Durban, South Africa",1971,2018,48,0.713,1.49,0.48,0.49,0.16,-29.8833,31.0
430-095,"Richards Bay, South Africa",1977,2018,42,0.5823,1.11,1.01,0.36,0.33,-28.8119,32.0786
432-001,"Maputo, Mozambique",1961,2001,41,0.4012,0.66,1.04,0.22,0.34,-25.9667,32.5667
450-012,"Port Louis II, Mauritius",1986,2018,33,0.9897,4.88,1.24,1.6,0.41,-20.15,57.5
450-021,"Rodrigues Island, Mauritius",1986,2018,33,0.9401,5.48,1.53,1.8,0.5,-19.6667,63.4167
451-001,"Pointe des Galets, Reunion",1975,2018,44,0.7059,1.89,0.94,0.62,0.31,-20.9349,55.285
454-002,"Gan II, Maldives",1987,2016,30,0.9412,3.69,0.81,1.21,0.27,-0.6833,73.15
460-016,"Zanzibar, Tanzania",1984,2016,33,0.9695,1.58,1.09,0.52,0.36,-6.15,39.1833
470-002,"Mombasa II, Kenya",1986,2016,31,0.7534,3.46,1.08,1.13,0.35,-4.0667,39.65
485-001,"Aden, Yemen",1879,2013,135,0.5046,1.25,0.15,0.41,0.05,12.7833,44.9833
490-021,"Karachi, Pakistan",1916,2016,101,0.5719,2.01,0.51,0.66,0.17,24.8,66.9667
500-011,"Kandla, India",1950,2013,64,0.7888,1.91,0.55,0.63,0.18,23.0167,70.2167
500-014,"Okha, India",1975,2013,39,0.7837,1.3,0.68,0.43,0.22,22.4667,69.0833
500-041,"Mumbai/Bombay, India",1878,2011,134,0.9122,0.8,0.09,0.26,0.03,18.9167,72.8333
500-065,"Mormugao, India",1969,2013,45,0.6865,1.45,0.46,0.48,0.15,15.4167,73.8
500-067,"Karwar, India",1970,2013,44,0.5771,1.03,1.08,0.34,0.35,14.8,74.1167
500-081,"Cochin, India",1939,2013,75,0.8865,1.54,0.27,0.51,0.09,9.9667,76.2667
500-083,"Tuticorin, India",1964,2014,51,0.5655,0.54,0.82,0.18,0.27,8.75,78.2
500-087,"Nagapattinam, India",1971,2013,43,0.4244,-0.24,1.03,-0.08,0.34,10.7667,79.85
500-091,"Chennai/Madras, India",1916,2014,99,0.6143,0.55,0.34,0.18,0.11,13.1,80.3
500-101,"Visakhapatnam, India",1937,2013,77,0.8612,1.05,0.4,0.34,0.13,17.6833,83.2833
500-106,"Paradip, India",1966,2013,48,0.77,1.94,0.96,0.64,0.32,20.2667,86.7
500-109,"Gangra, India",1974,2006,33,0.9595,1.45,1.28,0.48,0.42,21.95,88.0167
500-110,"Haldia, India",1970,2014,45,0.9532,2.83,0.78,0.93,0.25,22.0333,88.1
500-131,"Diamond Harbour, India",1948,2014,67,0.9689,3.95,0.53,1.3,0.17,22.2,88.1667
545-001,"Ko Taphao Noi, Thailand",1940,2018,79,0.9345,2.02,0.92,0.66,0.3,7.8333,98.4333
550-003,"Pulau Pinang, Malaysia",1984,2018,35,0.9534,3.72,1.37,1.22,0.45,5.4217,100.3467
550-005,"Lumut, Malaysia",1984,2018,35,0.9583,2.89,1.27,0.95,0.42,4.24,100.6133
550-007,"Pelabuhan Kelang, Malaysia",1984,2018,35,0.8974,2.51,1.38,0.82,0.45,3.05,101.3583
550-009,"Tanjung Keling, Malaysia",1984,2018,35,0.9632,2.53,1.19,0.83,0.39,2.215,102.1533
550-014,"Tanjung Gelang, Malaysia",1984,2018,35,0.9881,3.34,0.47,1.1,0.15,3.975,103.43
550-017,"Cendering, Malaysia",1984,2018,35,0.912,3.45,0.59,1.13,0.19,5.265,103.1867
555-011,"Raffles Light House, Singapore",1973,2018,46,0.8967,2.03,0.75,0.67,0.25,1.1667,103.75
555-021,"Sultan Shoal, Singapore",1969,2018,50,0.9158,3.19,0.59,1.05,0.19,1.2333,103.65
555-051,"Sembawang, Singapore",1960,2018,59,0.8203,1.5,0.44,0.49,0.14,1.4667,103.8333
580-012,"Bitung II, Indonesia",1986,2016,31,0.4889,4.97,3.59,1.63,1.18,1.4333,125.2
600-021,"Ko Lak, Thailand",1940,2018,79,0.9725,1.02,0.31,0.34,0.1,11.8,99.8167
600-041,"Fort Phrachula Chomklao, Thailand",1965,2018,54,0.9535,16.87,0.87,5.53,0.29,13.55,100.5833
600-051,"Ko Sichang, Thailand",1940,2002,63,0.955,0.92,0.36,0.3,0.12,13.15,100.8167
605-021,"Vung Tau, Vietnam",1979,2013,35,0.9928,3.7,0.96,1.21,0.31,10.3333,107.0667
605-041,"Quinhon, Vietnam",1977,2013,37,0.9932,0.2,1.17,0.06,0.38,13.7667,109.25
605-051,"Danang, Vietnam",1978,2013,36,1.0023,3.17,0.73,1.04,0.24,16.1,108.2167
605-081,"Hondau, Vietnam",1957,2013,57,0.9971,2.05,0.46,0.67,0.15,20.6667,106.8
609-001,"Macau, China",1925,1985,61,0.9779,0.26,0.5,0.08,0.16,22.2,113.55
610-002,"Zhapo, China",1959,2018,60,0.9958,2.39,0.37,0.79,0.12,21.5833,111.8333
610-005,"Xiamen, China",1954,2004,51,0.9967,1.12,0.55,0.37,0.18,24.45,118.0667
610-016,"Kanmen, China",1959,2018,60,0.9889,2.4,0.33,0.79,0.11,28.0833,121.2833
610-032,"Lusi, China",1961,2018,58,0.8374,5.22,0.46,1.71,0.15,32.1333,121.6167
610-039,"Qinhuangdao, China",1950,1994,45,0.9926,-0.04,0.62,-0.01,0.2,39.9,119.6
610-044,"Dalian, China",1954,2018,65,0.8087,2.51,0.42,0.82,0.14,38.8667,121.6833
611-010,"Quarry Bay, China",1929,2018,90,0.7758,1.57,0.43,0.51,0.14,22.2911,114.2133
611-014,"Tai Po Kau, China",1963,2018,56,0.9478,3.29,0.58,1.08,0.19,22.4425,114.1839
611-017,"Tsim Bei Tsui, China",1974,2018,45,0.8358,0.9,1.12,0.3,0.37,22.4872,114.0142
612-002,"Keelung II, Taiwan",1956,1995,40,1.0,0.45,0.77,0.15,0.25,25.1333,121.7333
620-011,"Incheon, Korea",1960,2018,59,0.9137,1.42,0.51,0.47,0.17,37.4519,126.5922
620-027,"Mokpo, South Korea",1960,2018,59,0.9873,3.77,0.46,1.24,0.15,34.7833,126.4
620-033,"Jeju, South Korea",1964,2018,55,0.9879,5.18,0.36,1.7,0.12,33.5167,126.5333
620-036,"Yeosu, Korea",1966,2018,53,0.9795,1.51,0.36,0.5,0.12,34.7472,127.7656
620-046,"Busan, South Korea",1960,2018,59,0.9957,2.21,0.29,0.72,0.1,35.1,129.0333
620-051,"Ulsan, South Korea",1962,2018,57,0.9778,1.4,0.46,0.46,0.15,35.5167,129.3833
620-061,"Mugho, South Korea",1965,2018,54,0.9737,1.29,0.37,0.42,0.12,37.55,129.1167
625-011,"Wonsan, North Korea",1962,1992,31,1.0027,1.28,0.81,0.42,0.27,39.1667,127.45
630-001,"Yuzhno Kurilsk, Russia",1948,1994,47,0.9675,2.74,0.62,0.9,0.2,44.0167,145.8667
630-021,"Petropavlovsk-Kamchatsky, Russia",1957,2018,62,0.9973,3.21,0.46,1.05,0.15,52.9833,158.65
641-003,"Abashiri, Japan",1965,2018,54,0.9645,1.48,0.38,0.48,0.12,44.0167,144.2833
641-021,"Kushiro, Japan",1993,2018,26,0.9745,3.55,0.96,1.17,0.31,42.9667,144.3833
641-031,"Hakodate I, Japan",1961,2018,58,0.9942,-1.07,0.37,-0.35,0.12,41.7833,140.7333
641-061,"Wakkanai, Japan",1975,2018,44,0.9981,3.38,0.39,1.11,0.13,45.4,141.6833
642-022,"Ofunato II, Japan",1974,2010,37,0.8827,4.67,0.47,1.53,0.15,39.0197,141.7533
642-061,"Mera, Japan",1931,2018,88,0.9621,3.8,0.17,1.25,0.06,34.9167,139.8333
642-091,"Aburatsubo, Japan",1930,2018,89,0.9775,3.65,0.18,1.2,0.06,35.15,139.6167
642-141,"Kushimoto, Japan",1957,2018,62,0.9878,3.83,0.47,1.26,0.16,33.4667,135.7833
645-011,"Hosojima, Japan",1930,2018,89,0.9803,-0.21,0.26,-0.07,0.08,32.4333,131.6667
645-021,"Aburatsu, Japan",1960,2018,59,1.0,2.2,0.39,0.72,0.13,31.5667,131.4167
645-064,"Nagasaki, Japan",1965,2018,54,0.9954,2.63,0.35,0.86,0.11,32.7333,129.8667
646-024,"Naha, Japan",1966,2018,53,1.0,2.23,0.57,0.73,0.19,26.2167,127.6667
647-023,"Hamada, Japan",1894,2018,35,0.978,0.59,0.26,0.19,0.08,34.8972,132.0661
647-068,"Toyama, Japan",1975,2018,44,0.9886,3.66,0.45,1.2,0.15,36.7667,137.2167
647-071,"Wajima, Japan",1930,2018,89,0.9841,0.05,0.21,0.02,0.07,37.4,136.9
648-001,"Chichijima, Japan",1975,2018,44,0.9962,3.47,0.92,1.14,0.3,27.0833,142.1833
660-011,"Manila, Philippines",1963,2017,55,0.8451,14.54,0.72,4.77,0.24,14.5833,120.9667
660-021,"Legaspi, Philippines",1947,2017,71,0.9445,5.51,0.61,1.81,0.2,13.15,123.75
660-101,"Cebu, Philippines",1935,2017,83,0.7962,1.31,0.59,0.43,0.19,10.3,123.9167
660-121,"Davao, Philippines",1948,2018,71,0.8057,2.33,1.11,0.77,0.36,7.0833,125.6333
660-141,"Jolo, Philippines",1947,1996,50,0.8703,0.19,1.1,0.06,0.36,6.0667,121.0
680-021,"Weipa, Australia",1966,2017,52,0.7849,3.43,1.18,1.13,0.39,-12.6667,141.8667
680-041,"Cairns, Australia",1960,2017,58,0.7681,1.72,0.44,0.57,0.14,-16.9167,145.7833
680-051,"Townsville, Australia",1959,2018,60,0.9986,2.07,0.35,0.68,0.12,-19.25,146.8333
680-061,"Mackay, Australia",1960,2017,58,0.7797,2.21,0.45,0.72,0.15,-21.1,149.2333
680-073,"Bundaberg, Australia",1966,2018,53,0.9826,1.93,0.52,0.63,0.17,-24.7667,152.3833
