studyName,"Datetime GMT","Latitude dec. deg. (º)","Longitude dec. deg. (º)","Depth (m)","Phosphate (µmol/L)","Silicate (µmol/L)","Nitrite and Nitrate (µmol/L)"
PAL0910,"2009-11-05 13:00:00",-64.8138,-64.0417,0,2.05,75.8,33.18
PAL0910,"2009-11-05 13:00:00",-64.8138,-64.0417,10,2.05,77.6,33.2
PAL0910,"2009-11-05 13:00:00",-64.8138,-64.0417,25,2.06,74.1,33.23
PAL0910,"2009-11-05 13:00:00",-64.8138,-64.0417,50,2.09,82.4,33.47
PAL0910,"2009-11-09 14:00:00",-64.7795,-64.0725,0,2.03,80.7,33.18
PAL0910,"2009-11-09 14:00:00",-64.7795,-64.0725,10,2.04,79.2,33.05
PAL0910,"2009-11-09 14:00:00",-64.7795,-64.0725,25,2.04,75.7,33.13
PAL0910,"2009-11-09 14:00:00",-64.7795,-64.0725,50,2.07,81,33.22
PAL0910,"2009-11-09 13:00:00",-64.8138,-64.0417,0,2.42,69.5,32.66
PAL0910,"2009-11-09 13:00:00",-64.8138,-64.0417,10,2.03,81.8,32.26
PAL0910,"2009-11-09 13:00:00",-64.8138,-64.0417,25,2.03,81.7,32.01
PAL0910,"2009-11-09 13:00:00",-64.8138,-64.0417,50,2.09,86,31.68
PAL0910,"2009-11-11 14:00:00",-64.7795,-64.0725,0,1.99,73.9,31.32
PAL0910,"2009-11-11 14:00:00",-64.7795,-64.0725,10,1.99,81,31.33
PAL0910,"2009-11-11 14:00:00",-64.7795,-64.0725,25,2.03,80.6,31.92
PAL0910,"2009-11-11 14:00:00",-64.7795,-64.0725,50,2.14,82,32.82
PAL0910,"2009-11-11 13:00:00",-64.8138,-64.0417,0,1.99,73.6,32.04
PAL0910,"2009-11-11 13:00:00",-64.8138,-64.0417,10,1.98,74.2,31.09
PAL0910,"2009-11-11 13:00:00",-64.8138,-64.0417,25,1.99,73.1,31.26
PAL0910,"2009-11-11 13:00:00",-64.8138,-64.0417,50,2.11,81.2,32.31
PAL0910,"2009-11-13 14:00:00",-64.7795,-64.0725,0,-999,-999,-999
PAL0910,"2009-11-13 14:00:00",-64.7795,-64.0725,10,-999,-999,-999
PAL0910,"2009-11-13 14:00:00",-64.7795,-64.0725,25,-999,-999,-999
PAL0910,"2009-11-13 14:00:00",-64.7795,-64.0725,50,-999,-999,-999
PAL0910,"2009-11-13 13:00:00",-64.8138,-64.0417,0,-999,-999,-999
PAL0910,"2009-11-13 13:00:00",-64.8138,-64.0417,10,-999,-999,-999
PAL0910,"2009-11-13 13:00:00",-64.8138,-64.0417,25,-999,-999,-999
PAL0910,"2009-11-13 13:00:00",-64.8138,-64.0417,50,-999,-999,-999
PAL0910,"2009-11-16 14:00:00",-64.7795,-64.0725,0,1.92,75.3,29.86
PAL0910,"2009-11-16 14:00:00",-64.7795,-64.0725,10,1.92,78.8,29.78
PAL0910,"2009-11-16 14:00:00",-64.7795,-64.0725,25,1.95,82.8,30.3
PAL0910,"2009-11-16 14:00:00",-64.7795,-64.0725,50,2.11,86.3,32.65
PAL0910,"2009-11-16 13:00:00",-64.8138,-64.0417,0,1.95,81.9,32.12
PAL0910,"2009-11-16 13:00:00",-64.8138,-64.0417,10,1.93,79.9,31.71
PAL0910,"2009-11-16 13:00:00",-64.8138,-64.0417,25,1.99,80.5,32.23
PAL0910,"2009-11-16 13:00:00",-64.8138,-64.0417,50,2.06,83.6,32.96
PAL0910,"2009-11-18 14:00:00",-64.7795,-64.0725,0,1.84,72,30.74
PAL0910,"2009-11-18 14:00:00",-64.7795,-64.0725,10,1.95,72.7,31.81
PAL0910,"2009-11-18 14:00:00",-64.7795,-64.0725,25,2.08,79.4,33.7
PAL0910,"2009-11-18 14:00:00",-64.7795,-64.0725,50,2.04,80.9,32.66
PAL0910,"2009-11-18 13:00:00",-64.8138,-64.0417,0,1.92,78.2,30.91
PAL0910,"2009-11-18 13:00:00",-64.8138,-64.0417,10,1.94,81.9,30.75
PAL0910,"2009-11-18 13:00:00",-64.8138,-64.0417,25,1.94,82.4,31.36
PAL0910,"2009-11-18 13:00:00",-64.8138,-64.0417,50,2.06,81.9,32.23
PAL0910,"2009-11-20 14:00:00",-64.7795,-64.0725,0,-999,-999,-999
PAL0910,"2009-11-20 14:00:00",-64.7795,-64.0725,10,-999,-999,-999
PAL0910,"2009-11-20 14:00:00",-64.7795,-64.0725,25,-999,-999,-999
PAL0910,"2009-11-20 14:00:00",-64.7795,-64.0725,50,-999,-999,-999
PAL0910,"2009-11-20 13:00:00",-64.8138,-64.0417,0,-999,-999,-999
PAL0910,"2009-11-20 13:00:00",-64.8138,-64.0417,10,-999,-999,-999
PAL0910,"2009-11-20 13:00:00",-64.8138,-64.0417,25,-999,-999,-999
PAL0910,"2009-11-20 13:00:00",-64.8138,-64.0417,50,-999,-999,-999
PAL0910,"2009-11-23 14:00:00",-64.7795,-64.0725,0,1.78,81,29
PAL0910,"2009-11-23 14:00:00",-64.7795,-64.0725,10,1.8,72.9,29.2
PAL0910,"2009-11-23 14:00:00",-64.7795,-64.0725,25,1.94,72.8,29.31
PAL0910,"2009-11-23 14:00:00",-64.7795,-64.0725,50,1.92,78.3,30.16
PAL0910,"2009-11-23 13:00:00",-64.8138,-64.0417,0,1.89,85.8,29.32
PAL0910,"2009-11-23 13:00:00",-64.8138,-64.0417,10,1.97,83.4,30.56
PAL0910,"2009-11-23 13:00:00",-64.8138,-64.0417,25,1.84,76.4,29.36
PAL0910,"2009-11-23 13:00:00",-64.8138,-64.0417,50,1.91,80.2,30.47
PAL0910,"2009-11-25 14:00:00",-64.7795,-64.0725,0,1.54,76,25.27
PAL0910,"2009-11-25 14:00:00",-64.7795,-64.0725,10,1.55,78.5,25.58
PAL0910,"2009-11-25 14:00:00",-64.7795,-64.0725,25,1.65,78.2,27.38
PAL0910,"2009-11-25 14:00:00",-64.7795,-64.0725,50,1.93,79,30.34
PAL0910,"2009-11-25 13:00:00",-64.8138,-64.0417,0,1.75,80.9,28.91
PAL0910,"2009-11-25 13:00:00",-64.8138,-64.0417,10,1.75,79.4,29.67
PAL0910,"2009-11-25 13:00:00",-64.8138,-64.0417,25,1.73,77.4,30.71
PAL0910,"2009-11-25 13:00:00",-64.8138,-64.0417,50,2.03,83.2,32.41
PAL0910,"2009-11-30 13:00:00",-64.7795,-64.0725,0,1.59,73.3,26.74
PAL0910,"2009-11-30 13:00:00",-64.7795,-64.0725,10,1.55,73.3,25.45
PAL0910,"2009-11-30 13:00:00",-64.7795,-64.0725,25,1.72,71.8,28.02
PAL0910,"2009-11-30 13:00:00",-64.7795,-64.0725,50,1.8,76.2,29.2
PAL0910,"2009-11-30 13:00:00",-64.8138,-64.0417,0,1.63,75.1,26.67
PAL0910,"2009-11-30 13:00:00",-64.8138,-64.0417,10,1.65,75.5,27
PAL0910,"2009-11-30 13:00:00",-64.8138,-64.0417,25,1.82,80.1,28.78
PAL0910,"2009-11-30 13:00:00",-64.8138,-64.0417,50,2.12,86.9,32.66
PAL0910,"2009-12-03 15:00:00",-64.7795,-64.0725,0,1.63,71.6,25.69
PAL0910,"2009-12-03 15:00:00",-64.7795,-64.0725,10,1.78,75.8,27.39
PAL0910,"2009-12-03 15:00:00",-64.7795,-64.0725,25,1.82,73.9,27.85
PAL0910,"2009-12-03 15:00:00",-64.7795,-64.0725,50,1.99,78.4,29.68
PAL0910,"2009-12-03 15:00:00",-64.8138,-64.0417,0,1.81,80.5,27.48
PAL0910,"2009-12-03 15:00:00",-64.8138,-64.0417,10,1.78,80.2,27.19
PAL0910,"2009-12-03 15:00:00",-64.8138,-64.0417,25,1.83,78.2,28.52
PAL0910,"2009-12-03 15:00:00",-64.8138,-64.0417,50,1.96,79.8,30
PAL0910,"2009-12-07 13:00:00",-64.7795,-64.0725,0,1.61,73.5,26.66
PAL0910,"2009-12-07 13:00:00",-64.7795,-64.0725,10,1.76,79.6,28.8
PAL0910,"2009-12-07 13:00:00",-64.7795,-64.0725,25,1.83,79.3,29.84
PAL0910,"2009-12-07 13:00:00",-64.7795,-64.0725,50,2.06,82.1,32.67
PAL0910,"2009-12-07 13:00:00",-64.8138,-64.0417,0,1.82,80,28.74
PAL0910,"2009-12-07 13:00:00",-64.8138,-64.0417,10,1.84,79.6,28.6
PAL0910,"2009-12-07 13:00:00",-64.8138,-64.0417,25,1.78,79.1,28.79
PAL0910,"2009-12-07 13:00:00",-64.8138,-64.0417,50,1.98,82.3,30.84
PAL0910,"2009-12-10 15:00:00",-64.7795,-64.0725,0,1.58,73.4,26.17
PAL0910,"2009-12-10 15:00:00",-64.7795,-64.0725,10,1.67,79,25.54
PAL0910,"2009-12-10 15:00:00",-64.7795,-64.0725,25,1.71,70.2,27.75
PAL0910,"2009-12-10 15:00:00",-64.7795,-64.0725,50,2.02,80,31.98
PAL0910,"2009-12-10 15:00:00",-64.8138,-64.0417,0,1.72,69.6,27.22
PAL0910,"2009-12-10 15:00:00",-64.8138,-64.0417,10,1.81,79.7,27.71
PAL0910,"2009-12-10 15:00:00",-64.8138,-64.0417,25,2.04,87.3,32.65
PAL0910,"2009-12-10 15:00:00",-64.8138,-64.0417,50,2.16,85.9,33.81
PAL0910,"2009-12-14 14:00:00",-64.7795,-64.0725,0,1.47,74.8,23.76
PAL0910,"2009-12-14 14:00:00",-64.7795,-64.0725,10,1.49,75.8,24.01
PAL0910,"2009-12-14 14:00:00",-64.7795,-64.0725,25,1.82,78.6,30.66
PAL0910,"2009-12-14 14:00:00",-64.7795,-64.0725,50,1.99,84.3,33.23
PAL0910,"2009-12-14 14:00:00",-64.8138,-64.0417,0,1.5,80.6,25.05
PAL0910,"2009-12-14 14:00:00",-64.8138,-64.0417,10,1.55,79.7,25.38
PAL0910,"2009-12-14 14:00:00",-64.8138,-64.0417,25,1.82,80.9,29.69
PAL0910,"2009-12-14 14:00:00",-64.8138,-64.0417,50,1.98,82.1,32.18
PAL0910,"2009-12-17 15:00:00",-64.7795,-64.0725,0,1.67,81.3,28.72
PAL0910,"2009-12-17 15:00:00",-64.7795,-64.0725,10,1.69,66.5,28.36
PAL0910,"2009-12-17 15:00:00",-64.7795,-64.0725,25,1.66,69.1,27.56
PAL0910,"2009-12-17 15:00:00",-64.7795,-64.0725,50,1.74,74.3,29.41
PAL0910,"2009-12-17 15:00:00",-64.8138,-64.0417,0,1.69,82,28.09
PAL0910,"2009-12-17 15:00:00",-64.8138,-64.0417,10,1.68,79.8,28.12
PAL0910,"2009-12-17 15:00:00",-64.8138,-64.0417,25,1.65,79.7,28.07
PAL0910,"2009-12-17 15:00:00",-64.8138,-64.0417,50,1.76,70.4,28.82
PAL0910,"2009-12-21 13:00:00",-64.7795,-64.0725,0,1.62,75.5,25.8
PAL0910,"2009-12-21 13:00:00",-64.7795,-64.0725,10,1.67,72.7,26.65
PAL0910,"2009-12-21 13:00:00",-64.7795,-64.0725,25,1.73,78.2,27.58
PAL0910,"2009-12-21 13:00:00",-64.7795,-64.0725,50,1.71,78.5,28.28
PAL0910,"2009-12-21 13:00:00",-64.8138,-64.0417,0,1.61,70.9,26.56
PAL0910,"2009-12-21 13:00:00",-64.8138,-64.0417,10,1.61,70,26.25
PAL0910,"2009-12-21 13:00:00",-64.8138,-64.0417,25,1.62,74.8,28.56
PAL0910,"2009-12-21 13:00:00",-64.8138,-64.0417,50,1.71,72.8,29.77
PAL0910,"2009-12-24 12:00:00",-64.7795,-64.0725,0,1.6,75.8,25.28
PAL0910,"2009-12-24 12:00:00",-64.7795,-64.0725,10,1.59,74.5,25.18
PAL0910,"2009-12-24 12:00:00",-64.7795,-64.0725,25,1.58,72.3,26.75
PAL0910,"2009-12-24 12:00:00",-64.7795,-64.0725,50,1.7,75.2,27.93
PAL0910,"2009-12-24 12:00:00",-64.8138,-64.0417,0,1.47,67.5,25.11
PAL0910,"2009-12-24 12:00:00",-64.8138,-64.0417,10,1.47,72.3,25.56
PAL0910,"2009-12-24 12:00:00",-64.8138,-64.0417,25,1.57,74.4,25.88
PAL0910,"2009-12-24 12:00:00",-64.8138,-64.0417,50,1.75,77.1,28.8
PAL0910,"2009-12-28 12:00:00",-64.7795,-64.0725,0,1.45,70,24.03
PAL0910,"2009-12-28 12:00:00",-64.7795,-64.0725,10,1.45,70,24.75
PAL0910,"2009-12-28 12:00:00",-64.7795,-64.0725,25,1.55,71.9,26.33
PAL0910,"2009-12-28 12:00:00",-64.7795,-64.0725,50,1.68,73.6,27.28
PAL0910,"2009-12-28 12:00:00",-64.8138,-64.0417,0,1.45,70.1,24.82
PAL0910,"2009-12-28 12:00:00",-64.8138,-64.0417,10,1.51,67.3,24.96
PAL0910,"2009-12-28 12:00:00",-64.8138,-64.0417,25,1.58,72.8,25.72
PAL0910,"2009-12-28 12:00:00",-64.8138,-64.0417,50,1.68,74.9,26.63
PAL0910,"2009-12-31 13:00:00",-64.7795,-64.0725,0,1.28,69.6,20.39
PAL0910,"2009-12-31 13:00:00",-64.7795,-64.0725,10,1.39,69.9,22.61
PAL0910,"2009-12-31 13:00:00",-64.7795,-64.0725,25,1.54,72.6,25.55
PAL0910,"2009-12-31 13:00:00",-64.7795,-64.0725,50,1.68,74.4,26.35
PAL0910,"2009-12-31 13:00:00",-64.8138,-64.0417,0,1.45,68,24.06
PAL0910,"2009-12-31 13:00:00",-64.8138,-64.0417,10,1.43,72.8,23.62
PAL0910,"2009-12-31 13:00:00",-64.8138,-64.0417,25,1.59,66,26.69
PAL0910,"2009-12-31 13:00:00",-64.8138,-64.0417,50,1.83,74.8,29.86
PAL0910,"2010-01-07 14:45:00",-64.7795,-64.0725,0,1.21,68.6,18.63
PAL0910,"2010-01-07 14:45:00",-64.7795,-64.0725,10,1.46,66.5,23.47
PAL0910,"2010-01-07 14:45:00",-64.7795,-64.0725,25,1.77,68.1,23.77
PAL0910,"2010-01-07 14:45:00",-64.7795,-64.0725,50,1.85,77.7,27.63
PAL0910,"2010-01-07 14:45:00",-64.8138,-64.0417,0,1.5,73.5,23.72
PAL0910,"2010-01-07 14:45:00",-64.8138,-64.0417,10,1.55,64.6,24.88
PAL0910,"2010-01-07 14:45:00",-64.8138,-64.0417,25,1.54,59.7,23.57
PAL0910,"2010-01-07 14:45:00",-64.8138,-64.0417,50,1.81,74.4,26.87
PAL0910,"2010-01-11 11:00:00",-64.7795,-64.0725,0,0.91,66.1,15.15
PAL0910,"2010-01-11 11:00:00",-64.7795,-64.0725,10,1.04,67.3,18.07
PAL0910,"2010-01-11 11:00:00",-64.7795,-64.0725,25,1.48,67.4,22.71
PAL0910,"2010-01-11 11:00:00",-64.7795,-64.0725,50,1.85,76.9,27.79
PAL0910,"2010-01-11 11:00:00",-64.8138,-64.0417,0,1.06,79.5,15.64
PAL0910,"2010-01-11 11:00:00",-64.8138,-64.0417,10,1.14,79.3,17.11
PAL0910,"2010-01-11 11:00:00",-64.8138,-64.0417,25,1.47,71.4,24.04
PAL0910,"2010-01-11 11:00:00",-64.8138,-64.0417,50,1.77,72.8,27.29
PAL0910,"2010-01-15 12:45:00",-64.7795,-64.0725,0,1.27,65.1,19.65
PAL0910,"2010-01-15 12:45:00",-64.7795,-64.0725,10,1.34,69,18.66
PAL0910,"2010-01-15 12:45:00",-64.7795,-64.0725,25,1.66,69.8,23.88
PAL0910,"2010-01-15 12:45:00",-64.7795,-64.0725,50,1.84,71.8,26.27
PAL0910,"2010-01-15 12:45:00",-64.8138,-64.0417,0,1.42,69.7,22.4
PAL0910,"2010-01-15 12:45:00",-64.8138,-64.0417,10,1.41,66.8,22.22
PAL0910,"2010-01-15 12:45:00",-64.8138,-64.0417,25,1.42,69.7,22.09
PAL0910,"2010-01-15 12:45:00",-64.8138,-64.0417,50,1.66,72.4,24.53
PAL0910,"2010-01-18 13:00:00",-64.7795,-64.0725,0,1.42,62.1,22.45
PAL0910,"2010-01-18 13:00:00",-64.7795,-64.0725,10,1.54,62.6,24.76
PAL0910,"2010-01-18 13:00:00",-64.7795,-64.0725,25,1.53,65.6,25
PAL0910,"2010-01-18 13:00:00",-64.7795,-64.0725,50,1.55,65.7,25.16
PAL0910,"2010-01-18 13:00:00",-64.8138,-64.0417,0,1.5,64.9,23.09
PAL0910,"2010-01-18 13:00:00",-64.8138,-64.0417,10,1.53,65.5,23.99
PAL0910,"2010-01-18 13:00:00",-64.8138,-64.0417,25,1.56,64.7,24.64
PAL0910,"2010-01-18 13:00:00",-64.8138,-64.0417,50,1.64,66.6,25.74
PAL0910,"2010-01-21 11:30:00",-64.7795,-64.0725,0,1.21,67.4,17.16
PAL0910,"2010-01-21 11:30:00",-64.7795,-64.0725,10,1.26,62,20.11
PAL0910,"2010-01-21 11:30:00",-64.7795,-64.0725,25,1.5,65.1,23.19
PAL0910,"2010-01-21 11:30:00",-64.7795,-64.0725,50,1.67,65.5,25.38
PAL0910,"2010-01-21 11:30:00",-64.8138,-64.0417,0,1.14,65.5,17.24
PAL0910,"2010-01-21 11:30:00",-64.8138,-64.0417,10,1.43,66.9,21.69
PAL0910,"2010-01-21 11:30:00",-64.8138,-64.0417,25,1.65,65.3,23.56
PAL0910,"2010-01-21 11:30:00",-64.8138,-64.0417,50,1.75,64.8,25.25
PAL0910,"2010-01-25 11:30:00",-64.7795,-64.0725,0,0.66,57,7.1
PAL0910,"2010-01-25 11:30:00",-64.7795,-64.0725,10,1.06,63.3,15.09
PAL0910,"2010-01-25 11:30:00",-64.7795,-64.0725,25,1.59,71.9,20.14
PAL0910,"2010-01-25 11:30:00",-64.7795,-64.0725,50,1.81,68.6,25.84
PAL0910,"2010-01-25 11:30:00",-64.8138,-64.0417,0,1.46,73.5,23
PAL0910,"2010-01-25 11:30:00",-64.8138,-64.0417,10,1.49,72.6,23.96
PAL0910,"2010-01-25 11:30:00",-64.8138,-64.0417,25,1.64,66.7,26.82
PAL0910,"2010-01-25 11:30:00",-64.8138,-64.0417,50,1.7,67,26.69
PAL0910,"2010-01-28 13:30:00",-64.8138,-64.0417,0,1.51,76.8,21.84
PAL0910,"2010-01-28 13:30:00",-64.8138,-64.0417,10,1.49,74,22.13
PAL0910,"2010-01-28 13:30:00",-64.8138,-64.0417,25,1.58,76.7,23.83
PAL0910,"2010-01-28 13:30:00",-64.8138,-64.0417,50,1.82,66,27.84
PAL0910,"2010-02-01 11:00:00",-64.7795,-64.0725,0,0.34,52.4,2.16
PAL0910,"2010-02-01 11:00:00",-64.7795,-64.0725,10,1.66,68.8,23.44
PAL0910,"2010-02-01 11:00:00",-64.7795,-64.0725,25,1.88,66.6,25.85
PAL0910,"2010-02-01 11:00:00",-64.7795,-64.0725,50,2.02,74,28.24
PAL0910,"2010-02-01 11:00:00",-64.8138,-64.0417,0,0.95,65.6,14.94
PAL0910,"2010-02-01 11:00:00",-64.8138,-64.0417,10,1.59,67.9,24.5
PAL0910,"2010-02-01 11:00:00",-64.8138,-64.0417,25,1.77,65.3,27.21
PAL0910,"2010-02-01 11:00:00",-64.8138,-64.0417,50,1.86,69,27.94
PAL0910,"2010-02-02 15:00:00",-64.7795,-64.0725,0,-999,-999,-999
PAL0910,"2010-02-02 15:00:00",-64.7795,-64.0725,10,-999,-999,-999
PAL0910,"2010-02-02 15:00:00",-64.7795,-64.0725,25,-999,-999,-999
PAL0910,"2010-02-02 15:00:00",-64.7795,-64.0725,50,-999,-999,-999
PAL0910,"2010-02-02 15:00:00",-64.8138,-64.0417,0,-999,-999,-999
PAL0910,"2010-02-02 15:00:00",-64.8138,-64.0417,10,-999,-999,-999
PAL0910,"2010-02-02 15:00:00",-64.8138,-64.0417,25,-999,-999,-999
PAL0910,"2010-02-02 15:00:00",-64.8138,-64.0417,50,-999,-999,-999
PAL0910,"2010-02-05 14:00:00",-64.7795,-64.0725,0,1.61,56.7,22.56
PAL0910,"2010-02-05 14:00:00",-64.7795,-64.0725,10,1.65,69.4,23.41
PAL0910,"2010-02-05 14:00:00",-64.7795,-64.0725,25,1.86,69.1,26.66
PAL0910,"2010-02-05 14:00:00",-64.7795,-64.0725,50,2.07,68,28.41
PAL0910,"2010-02-05 14:00:00",-64.8138,-64.0417,0,1.39,66,19.73
PAL0910,"2010-02-05 14:00:00",-64.8138,-64.0417,25,1.83,72.8,25.91
PAL0910,"2010-02-05 14:00:00",-64.8138,-64.0417,50,1.95,75.6,27.08
PAL0910,"2010-02-08 14:30:00",-64.7795,-64.0725,0,1.66,60,23.01
PAL0910,"2010-02-08 14:30:00",-64.7795,-64.0725,10,1.65,69.9,23.85
PAL0910,"2010-02-08 14:30:00",-64.7795,-64.0725,25,1.71,53.7,24.87
PAL0910,"2010-02-08 14:30:00",-64.7795,-64.0725,50,1.84,70.7,25.63
PAL0910,"2010-02-08 14:30:00",-64.8138,-64.0417,0,1.49,56.7,23.59
PAL0910,"2010-02-08 14:30:00",-64.8138,-64.0417,10,1.46,60.5,23.35
PAL0910,"2010-02-08 14:30:00",-64.8138,-64.0417,25,1.59,66.2,25.64
PAL0910,"2010-02-08 14:30:00",-64.8138,-64.0417,50,1.87,62.9,27.81
PAL0910,"2010-02-11 13:00:00",-64.7795,-64.0725,0,1.53,71.1,25.31
PAL0910,"2010-02-11 13:00:00",-64.7795,-64.0725,10,1.84,60.6,28.17
PAL0910,"2010-02-11 13:00:00",-64.7795,-64.0725,25,1.86,57.8,29.38
PAL0910,"2010-02-11 13:00:00",-64.7795,-64.0725,50,2.04,64.4,29.77
PAL0910,"2010-02-11 13:00:00",-64.8138,-64.0417,0,1.7,62.5,26.36
PAL0910,"2010-02-11 13:00:00",-64.8138,-64.0417,10,1.71,63.1,26.43
PAL0910,"2010-02-11 13:00:00",-64.8138,-64.0417,25,1.74,60.8,25.83
PAL0910,"2010-02-11 13:00:00",-64.8138,-64.0417,50,1.89,64.1,27.14
PAL0910,"2010-02-16 13:00:00",-64.7795,-64.0725,0,1.82,70.7,25.79
PAL0910,"2010-02-16 13:00:00",-64.7795,-64.0725,10,1.7,74.3,25.81
PAL0910,"2010-02-16 13:00:00",-64.7795,-64.0725,25,1.78,74.9,26.64
PAL0910,"2010-02-16 13:00:00",-64.7795,-64.0725,50,1.98,75.2,28.91
PAL0910,"2010-02-16 13:00:00",-64.8138,-64.0417,0,0.7,60.5,15.4
PAL0910,"2010-02-16 13:00:00",-64.8138,-64.0417,10,1.1,71.3,19.6
PAL0910,"2010-02-16 13:00:00",-64.8138,-64.0417,25,1.6,67.4,23.42
PAL0910,"2010-02-16 13:00:00",-64.8138,-64.0417,50,2,80.8,26.18
PAL0910,"2010-02-18 12:00:00",-64.7795,-64.0725,0,1.05,68.1,18.9
PAL0910,"2010-02-18 12:00:00",-64.7795,-64.0725,10,1.43,64.8,22.81
PAL0910,"2010-02-18 12:00:00",-64.7795,-64.0725,25,1.74,64.3,25.18
PAL0910,"2010-02-18 12:00:00",-64.7795,-64.0725,50,1.99,66.8,27.72
PAL0910,"2010-02-18 12:00:00",-64.8138,-64.0417,0,1.13,66.8,20.94
PAL0910,"2010-02-18 12:00:00",-64.8138,-64.0417,10,1.32,62.9,23.49
PAL0910,"2010-02-18 12:00:00",-64.8138,-64.0417,25,1.62,76.9,25.55
PAL0910,"2010-02-18 12:00:00",-64.8138,-64.0417,50,1.93,63.9,28.61
PAL0910,"2010-02-23 13:00:00",-64.7795,-64.0725,0,0.49,65.7,11.76
PAL0910,"2010-02-23 13:00:00",-64.7795,-64.0725,10,0.96,65.9,19.82
PAL0910,"2010-02-23 13:00:00",-64.7795,-64.0725,25,1.42,77.3,25.3
PAL0910,"2010-02-23 13:00:00",-64.7795,-64.0725,50,1.83,73.2,26.23
PAL0910,"2010-02-23 13:00:00",-64.8138,-64.0417,0,0.78,68.1,17.31
PAL0910,"2010-02-23 13:00:00",-64.8138,-64.0417,10,0.93,72.3,17.53
PAL0910,"2010-02-23 13:00:00",-64.8138,-64.0417,25,1.39,73.1,21.91
PAL0910,"2010-02-23 13:00:00",-64.8138,-64.0417,50,1.83,75.2,27.24
PAL0910,"2010-02-25 14:00:00",-64.7795,-64.0725,0,0.69,71.5,15.84
PAL0910,"2010-02-25 14:00:00",-64.7795,-64.0725,10,0.91,57.4,19
PAL0910,"2010-02-25 14:00:00",-64.7795,-64.0725,25,1.58,69.5,24.69
PAL0910,"2010-02-25 14:00:00",-64.7795,-64.0725,50,1.91,75.2,28.22
PAL0910,"2010-02-25 14:00:00",-64.8138,-64.0417,0,0.89,59,19.81
PAL0910,"2010-02-25 14:00:00",-64.8138,-64.0417,10,0.88,70.8,19.44
PAL0910,"2010-02-25 14:00:00",-64.8138,-64.0417,25,1.66,65.5,25.2
PAL0910,"2010-02-25 14:00:00",-64.8138,-64.0417,50,1.97,78.6,27.16
PAL0910,"2010-03-02 14:00:00",-64.8138,-64.0417,0,1.08,71.5,22.01
PAL0910,"2010-03-02 14:00:00",-64.8138,-64.0417,10,1.14,71.8,22.32
PAL0910,"2010-03-02 14:00:00",-64.8138,-64.0417,25,1.67,71.3,27.31
PAL0910,"2010-03-02 14:00:00",-64.8138,-64.0417,50,2.03,82.8,30.7
PAL0910,"2010-03-04 13:00:00",-64.7795,-64.0725,0,1.17,73.1,21.93
PAL0910,"2010-03-04 13:00:00",-64.7795,-64.0725,10,1.2,62,22.26
PAL0910,"2010-03-04 13:00:00",-64.7795,-64.0725,25,1.74,77,26.4
PAL0910,"2010-03-04 13:00:00",-64.7795,-64.0725,50,1.96,74.5,28.56
PAL0910,"2010-03-10 14:00:00",-64.7795,-64.0725,0,1.69,70,27.36
